Job Profile,Job URL,Company Name,Location
System Data Engineer ATC - CBTC - Railway Infrastructure,https://in.linkedin.com/jobs/view/system-data-engineer-atc-cbtc-railway-infrastructure-at-siemens-3275429145?refId=24988jyNZj%2FZJReA9xJ6ug%3D%3D&trackingId=qvLdRzZX%2BWKpeR8uYC%2Bqww%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Siemens,"Pune, Maharashtra, India"
Project ATC Design Leader,https://in.linkedin.com/jobs/view/project-atc-design-leader-at-alstom-3378809546?refId=24988jyNZj%2FZJReA9xJ6ug%3D%3D&trackingId=1lk0hLwfGZkZk7kaKyUIiw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Alstom,"Bengaluru, Karnataka, India"
Project ATC Design Leader,https://in.linkedin.com/jobs/view/project-atc-design-leader-at-alstom-3378811291?refId=24988jyNZj%2FZJReA9xJ6ug%3D%3D&trackingId=flUWVeXTb0IyM9iC8nJ5xw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Alstom,"Bengaluru, Karnataka, India"
Assistant Manager - Route Navigation Services & Projects,https://in.linkedin.com/jobs/view/assistant-manager-route-navigation-services-projects-at-indigo-interglobe-aviation-ltd-3394129111?refId=24988jyNZj%2FZJReA9xJ6ug%3D%3D&trackingId=269mSz9S%2BTtifzYQkTeYzQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,IndiGo (InterGlobe Aviation Ltd),"Gurgaon, Haryana, India"
Project ATC Design Leader,https://in.linkedin.com/jobs/view/project-atc-design-leader-at-alstom-3368957443?refId=24988jyNZj%2FZJReA9xJ6ug%3D%3D&trackingId=Y7dtg8TWlcpy67eGTr2Odg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,Alstom,"Bengaluru, Karnataka, India"
Integration Consultant - ATC,https://in.linkedin.com/jobs/view/integration-consultant-atc-at-mercede-3366457551?refId=24988jyNZj%2FZJReA9xJ6ug%3D%3D&trackingId=MjrLJZ0ndEFmsIJf2D7uTw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,Mercede,"Bengaluru, Karnataka, India"
Assistant Manager - Route Navigation Services & Projects,https://in.linkedin.com/jobs/view/assistant-manager-route-navigation-services-projects-at-indigo-interglobe-aviation-ltd-3393424739?refId=24988jyNZj%2FZJReA9xJ6ug%3D%3D&trackingId=jOFMPgklyarNmzmoxUSMTg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,IndiGo (InterGlobe Aviation Ltd),"Gurgaon, Haryana, India"
ATC Application Design Engineer,https://in.linkedin.com/jobs/view/atc-application-design-engineer-at-alstom-3396728976?refId=24988jyNZj%2FZJReA9xJ6ug%3D%3D&trackingId=3KdHJ85VQJn6LHhv7jb5sQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,Alstom,"Bengaluru, Karnataka, India"
ATC Architect – Technical Sub System Manager CBTC - Railway Infrastructure,https://in.linkedin.com/jobs/view/atc-architect-%E2%80%93-technical-sub-system-manager-cbtc-railway-infrastructure-at-siemens-3385997250?refId=24988jyNZj%2FZJReA9xJ6ug%3D%3D&trackingId=cCXdJrOiV%2BOlDZCcXtkKrw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,Siemens,"Pune, Maharashtra, India"
ATC Architect – Technical Sub System Manager CBTC - Railway Infrastructure,https://in.linkedin.com/jobs/view/atc-architect-%E2%80%93-technical-sub-system-manager-cbtc-railway-infrastructure-at-siemens-3340588712?refId=24988jyNZj%2FZJReA9xJ6ug%3D%3D&trackingId=zaLM0DRVKYVBTjGM6uLn5Q%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,Siemens,"Pune, Maharashtra, India"
